name,label,description
15037.jpg,1.0,"The meme represents two women dressed as superheros posing for the camera, we can read this text on it: imgflip.com EVERY SUPER-HERO HAS A VULNERABILITY THEY JUST CAN'T OVERCOME THEIRS IS GRAVITY+TIME EUROBEAT KASCHI"
15038.jpg,0.0,"The meme represents a woman eating a spoon with the capt that says when it ' s clean, we can read this text on it: WHEN U TRYIN TO EAT CLEAN BUT ALLU CAN THINK BOUT IS DAT DONUT"
15041.jpg,1.0,"The meme represents a woman in a yellow bikini is spraying water on her face, we can read this text on it: Let my niggas get some pussy If you could be a girl for a day what would you do? Facts! interwebsex"
15043.jpg,0.0,"The meme represents a man taking a selfie with two other men, we can read this text on it: memecenter.com MISZE.COM MemeCenter.co Bromance... by death0411 - Meme Center"
15044.jpg,0.0,"The meme represents a baby in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed, we can read this text on it: NO ONE HIDES FROM ME FIND THIS """"""""WALDO��� AND BRING ME HIS HEAD quickmeme.com"""""
15045.jpg,0.0,"The meme represents a woman laying on a bed with a clock, we can read this text on it: SEARCHING FOR MY SON'S CHOCOLATE THAT I ATE LAST NIGHT RD"
15047.jpg,0.0,"The meme represents the big bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang, we can read this text on it: WARHIVA RAS AHOY Me at 3am Again? Seriously? Suicidal thoughts Existential crisis Self harm The big sad www"
15048.jpg,0.0,"The meme represents a man in a suit and tie eating a banana, we can read this text on it: Lulz Truck.com I FARTED IT WAS WET Troll.me momecenter.com MemeCenter 40 Most Funniest Fart Memes That Will Make You Laugh Hard"
15049.jpg,0.0,"The meme represents a woman with fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr, we can read this text on it: THINK ABOUT HOW MUCH BETTER HER SKIN IS BREATHING WITHOUT ENOUGH MAKEUP TO HIDE HER FRECKLES made on imgur"
15050.jpg,1.0,"The meme represents a cartoon duck with a capt that says, i say bitchs here, we can read this text on it: I SAY I SAY, BITCH LOOKS HERE THIS DICK AIN'T GONNA SUCK ITSELF NOW, YA HEAR?! I say I say, bitch looks here This dick ain't gonna suck itself now"
15051.jpg,1.0,"The meme represents a man in a red cloak holding a sign, we can read this text on it: THANKS TO PLANNED PARENT HOOD MORTH imgflip.com WOMAN NOT A WOMB! WE WONT GIVE UP WE WANT GIVE IN MY om Kay WHEN THE AVERAGE FEMINIST BE LIKE """"""""STAY OUT IF MY WOMB!"""""""" THE AVERAGE MAN BE LIKE Not a problem!"""""
15055.jpg,0.0,"The meme represents a woman and a man are sitting on the floor with a bird in their hands, we can read this text on it: My bf Um...whatcha got there? Crippling depression, low self esteem suicidal thoughts and actions Me A smoothie. 2meirl4meirl"
15056.jpg,0.0,"The meme represents two boys are playing with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr, we can read this text on it: BENEFIT FOR BEING FAT? WELL... ...BOOBS memegenerator.net"
15057.jpg,1.0,"The meme represents a woman holding a box of pills, we can read this text on it: WHEN YOUR GIRLFRIEND DOESN'T LIKE HER CHRISTMAS PRESENT UNGRATEFUL BITCH !!!! IT'S THE THOUGHT THAT COUNTS CAPPLE LE CLAPPER PLUS Telecomande avec #The BadGuy ���"
15058.jpg,1.0,"The meme represents a woman holding a purse in her hand, we can read this text on it: IF YOU LOOK CLOSELY Sold SHE'S TRYING TO CHOOSE A BAG"
15062.jpg,0.0,"The meme represents i ' m not a fan of the game, but i ' m not a fan of the game, we can read this text on it: MET AN ABSOLUTELY BEAUTIFUL AND CUTE GIRL SOME MONTHS AGO SINCE THEN IM TAKING PICTURES AND VIDEOS OF MYSELF ALL THE TIME JUST TO SEE IF I'M GOOD LOOKING OR AN UGLY POTATO,"
15065.jpg,1.0,"The meme represents a man in a kitchen with a knife and a bowl of food, we can read this text on it: MEN COOKING SOCIAL DEMENTIA BECAUSE OUR GENERATION OF WOMEN DON'T KNOW HOW TO"
15067.jpg,1.0,"The meme represents a woman in a striped shirt is standing in the kitchen, we can read this text on it: BF WAS HELPING ME MAKE COOKIES.... BOYS WILL BE BOYS"
15068.jpg,0.0,"The meme represents a woman with glasses and a tie around her neck, we can read this text on it: DJFRENCHGUY MAKES HELLA STUPID MEMES HTTP://WWW.QUICKMEME.COM/USER/DJFRENCHGUY!"
15070.jpg,1.0,"The meme represents a man walking down a dirt road with a stick, we can read this text on it: I BEAT MY WIFE AT POKER THE OTHER NIGHT quickmeme.com"
15072.jpg,0.0,"The meme represents a group of girls in a pool with the capt that says, ' i ' m ', we can read this text on it: VIRGIN LEVEL -JASON STROUTHER makeameme.org"
15073.jpg,1.0,"The meme represents a woman in a dress is taking a selfie, we can read this text on it: SHE WAS SAYING SOME SHIT ABOUT HOW HER DAY WENT Sandtman AND ALL I HEARD WAS MY NAUGHTY ASS THOUGHTS"
15074.jpg,0.0,"The meme represents a woman in a kitchen preparing food, we can read this text on it: All Asian women stand like this when they cook. Hind CAO Duxton"
15078.jpg,0.0,"The meme represents a cartoon depicting a man in a chair with a computer and a fish, we can read this text on it: 380 million years ago I MUST KEEP ON EVOLVING! 445 million years ago I think I'm already) perfect 0 Present Day @Idiot of the East 100 F*ck Present Day Still perfect C"
15081.jpg,0.0,"The meme represents a woman in a yellow shirt is holding a plate of food, we can read this text on it: """"LET ME TELL YOU SOMETHING ON BEHALF OF WOMEN EVERYWHERE: Max THE 1868 1937 WE. DON'T. LIKE. BEARDS."""""""" made on imgur"""""
15083.jpg,0.0,"The meme represents a man in a vest holding a cigarette, we can read this text on it: BEFORE YOU MARRY A PERSON YOU SHOULD FIRST MAKE THEM USE ACOMPUTER WITH SLOW INTERNET TO SEE WHO THEY REALLY ARE boredpanda.com"
15085.jpg,1.0,"The meme represents a woman in a bikini posing for the camera, we can read this text on it: MY WIFE SUGGESTIGET ONE OF THOSE PENIS ENLARGERS Coul Strange SO I DID, SHE'S 21 AND HER NAME IS KIM coolstrange.com Cool Strange"
15088.jpg,1.0,"The meme represents oh, you think you ' re - oh, you think you ' re? oh, you think, we can read this text on it: OH, YOU THINK IT'S WRONG WHEN A MAN LOOKS AT A WOMAN AS A SEXUAL OBJECT? TELL ME MORE ABOUT YOUR BRA THAT MAKES YOUR TITS JIGGLE ator.net"
15089.jpg,1.0,"The meme represents a woman in a kitchen with a yellow glove, we can read this text on it: Shout out to all the women that still take time to cook, clean, and take care of home. You are appreciated. @OGBoomBostic QK BR Much appreciated, grown woman status. WCW"
15090.jpg,0.0,"The meme represents a man in a suit and tie is dancing with a woman, we can read this text on it: STARECAT.COM GIRLFRIEND NO GIRLFRIEND"
15091.jpg,0.0,"The meme represents a stuffed chicken with glasses and a plate of cookies, we can read this text on it: YES I DO THE COOKING @fairykillugon Mall YES I DO THE CLEANING"
15092.jpg,0.0,"The meme represents a cartoon character with a capt that reads when you ' reting your girlfriend, we can read this text on it: WHEN YOUR GIRLFRIEND SLAPS YOUR ASS JAWA AND CALLS YOU HER BITCH Oh hell no"
15093.jpg,0.0,"The meme represents a woman in a black dress with a large cleavage, we can read this text on it: I DON'T CARE WHAT MOVIE SHE'S IN AND WHAT HER ACTUAL NAME IS VIV SHE WILL ALWAYS BE STIFFLERS MOM MEMEFUL.COM"
15094.jpg,0.0,"The meme represents a cat with a capt that says sorry angels but you are cute in the world, we can read this text on it: SORRY ANGELES BUT YOU ARE THE CUTEST GIRLIN THE WORLD TIMEjenerator.net"
15095.jpg,1.0,"The meme represents a woman in a white bathingsuit with her hand up, we can read this text on it: YOURS FOR ONLY... TWO MILLION DOLLARS Neregenerator.net"
15096.jpg,0.0,"The meme represents a woman and a child are in the water, we can read this text on it: FATHER SON imgflip.com MOTHER DAUGHTER"
15097.jpg,0.0,"The meme represents the famous women of the 2000s, we can read this text on it: LATINAS BE LIKE I'M 104 YEARS OLD"
15098.jpg,0.0,"The meme represents a man with a microphone in his mouth, we can read this text on it: HAS A TEST TOMORROW PLAYS CALL OF DUTY quickmeme.com Lazy Middle School Student memes | quickmeme"
15100.jpg,0.0,"The meme represents a woman in a green bikini and a baby, we can read this text on it: She1: Y do u want to get married? She2: just to do these things with my daughter"
